index,owner,repo,commit_sha,source
53,JusticeRage,Gepetto,9b3f12b1d4e92851f5ad69a7ea2f45cdc733e47c,Own_Extracted_Dataset.xlsx
54,huggingface,doc-builder,35919cd53066035041ec232f22fe55f593feece4,Own_Extracted_Dataset.xlsx
55,Bessouat40,RAGLight,211a8d986c22da6d46db98302ee77653327495b5,Own_Extracted_Dataset.xlsx
56,PaddlePaddle,PaddleNLP,587a5cdf97138ac5032b4bb97cf7fc22a038aaf4,Own_Extracted_Dataset.xlsx
57,zyddnys,manga-image-translator,a537cb12b41daf2065795058c2753d87e73fa0fe,Own_Extracted_Dataset.xlsx
58,ArtificialAnalysis,Stirrup,e8ae0bf6fbd22a0ffb763839b8f6324821881acc,Own_Extracted_Dataset.xlsx
59,aws,sagemaker-hyperpod-recipes,38c1578a18dd1f39727ac166d77e9be89859431e,Own_Extracted_Dataset.xlsx
60,deepforestsci,DeepRetro,8fe24f6df7fec15371c396e25ce932bf2da51fa5,Own_Extracted_Dataset.xlsx
61,neverbiasu,hf-mirror-hub,8aaa1557dfd85a9ecb0cadf06f390379452ae0b2,Own_Extracted_Dataset.xlsx
62,clp-research,clemcore,a8ad2967a65d239691c0313843e064ea57022983,Own_Extracted_Dataset.xlsx
63,Lightning-AI,lightning-thunder,a0d03353130895891ae151f928a9e61ccaa90148,Own_Extracted_Dataset.xlsx
64,lemony-ai,cascadeflow,c6554a2bf9a7db4f7545da3c8b7d1630bb1b81fe,Own_Extracted_Dataset.xlsx
65,qtalen,agentic-ai-playground,dd618c69ea02e06e4b75549bd0b3d5225b790938,Own_Extracted_Dataset.xlsx
66,volcengine,ai-app-lab,423c8216acf9897a1eee632341969129477cc154,Own_Extracted_Dataset.xlsx
67,michaelpradel,Testora,8c5b410dd30925b65b0f3907384bd993bcacbd38,Own_Extracted_Dataset.xlsx
68,zldscr0,SENT,2a7c40fa77ea3ce882534a30a1029db06d561825,Own_Extracted_Dataset.xlsx
69,RamboRogers,mlx-gui,96b0913f13b6f857d9df84a72901b221c2ca1f81,Own_Extracted_Dataset.xlsx
70,lfnovo,open-notebook,65166d4d2a2ff9295c5ed4a1d3db5d9124e40615,Own_Extracted_Dataset.xlsx
71,IntelLabs,LLMart,c42b1b714be912195de2e506abb38bea55a41850,Own_Extracted_Dataset.xlsx
72,princeton-ddss,blackfish,f03c0cb1c1a24231e23b73d10997797ed459efe7,Own_Extracted_Dataset.xlsx
73,openai,mle-bench,0701d35efea165fb184e924861234c05e9dff4ab,Own_Extracted_Dataset.xlsx
74,hiyouga,EasyR1,4d13ebe55ad75230305e58a3e9cf48cd58042258,Own_Extracted_Dataset.xlsx
75,scicode-bench,SciCode,e3158ea011d4235245a547460d3688d7ccbf9900,Own_Extracted_Dataset.xlsx
76,bentoml,OpenLLM,5725415eede5865ec6bcb454c4805bb689993c0c,Own_Extracted_Dataset.xlsx
77,Open-Technology-Foundation,customkb,950c7791d40e04cc375018539a9a3bfe9b19c697,Own_Extracted_Dataset.xlsx
78,terrierteam,pyterrier_rag,e2447079281f0131cd180f18f12e30574ab17c5c,Own_Extracted_Dataset.xlsx
79,alejandro-ao,open-deep-research-w-firecrawl,6f38ba6e562ac67423516d8e1187ac31bb9724c5,Own_Extracted_Dataset.xlsx
80,thu-nics,R2R,a7789ff551fa92dca1b6b3120fbcbe8461c5b5a6,Own_Extracted_Dataset.xlsx
81,firstbatchxyz,inference-arena,001438745bf2006b8fabde8f18837632ed571e2e,Own_Extracted_Dataset.xlsx
82,arcee-ai,DistillKit,2203a0f96868691cd238dda2897541e6219254ff,Own_Extracted_Dataset.xlsx
83,jonigl,mcp-client-for-ollama,09796eb3fb38cdb5eb0578ee98cb13eb9f423cb2,Own_Extracted_Dataset.xlsx
84,aradlein,hass-agent-llm,2a3d75aae2cf588909f6f2cdf99efde544f5b928,Own_Extracted_Dataset.xlsx
85,agentuniverse-ai,agentUniverse,d11c8f4e2ff4c9b8f9a0a7f5f796f16b9f24affd,Own_Extracted_Dataset.xlsx
86,cubist38,mlx-openai-server,5ccbd997fcbfbb2b974121147a04dfb214c9ed83,Own_Extracted_Dataset.xlsx
87,Marcus-Forte,learning-mcp,be4e7840581a7f6b99fea2430dc4a92bac5ba540,Own_Extracted_Dataset.xlsx
88,JY0284,zizhitongjian,832a3861cdf100d8cd0899a1df515beefb7c92b7,Own_Extracted_Dataset.xlsx
89,willxxy,ECG-Bench,99e3e78eb63a0ee88e3080a9f4fce59143b15423,Own_Extracted_Dataset.xlsx
90,AzisK,Zpace,0d34fd41cb090bc33ea8b215fb605f91d7100be5,Own_Extracted_Dataset.xlsx
91,danielcamposramos,Knowledge3D,274cf368b822e370903b7f97132e242a8c3c06c7,Own_Extracted_Dataset.xlsx
92,zhihao1998,LLM4NetLab,8f765707beced9eaf193dfd9341f064c2079cbd9,Own_Extracted_Dataset.xlsx
93,jeankassio,JK-AceStep-Nodes,060845845cd1a0163954d678e3dfcdf021af98c7,Own_Extracted_Dataset.xlsx
94,matsonj,based-eval,ce8d8d6a976e05f7c713cf4dcffec2d881088886,Own_Extracted_Dataset.xlsx
95,LiveBench,LiveBench,366e385d1ff6ad90ddeeb3644f1d72b2f7c6c324,Own_Extracted_Dataset.xlsx
96,openvinotoolkit,openvino_tokenizers,60a9e5067e434b8721719479f2e1eb750ae7bd81,Own_Extracted_Dataset.xlsx
97,yhzhu99,ehr-llm-benchmark,d413e70e7fa29ee5cd815ec87276be7eb1526aef,Own_Extracted_Dataset.xlsx
98,Sarthak-Sidhant,redstalk,208719537e2a42df953f7754ac08edb2d902c52e,Own_Extracted_Dataset.xlsx
