rule_id,files_touched,projects_touched,occurrences,file_prevalence_pct,project_prevalence_pct,avg_occurrences_per_touched_file
R25,1859,304,4219,1.085903,43.930636,2.269500
R26,5543,381,15100,3.237847,55.057803,2.724157
R27,761,175,1665,0.444525,25.289017,2.187911
R28,1425,291,3372,0.832389,42.052023,2.366316
R29,1524,302,3495,0.890218,43.641618,2.293307
R30,6,6,15,0.003505,0.867052,2.500000
R31,302,131,441,0.176408,18.930636,1.460265
R32,183,93,302,0.106896,13.439306,1.650273
R33,7,5,8,0.004089,0.722543,1.142857
