project_id,files_touched,rules_touched,occurrences
guanweifan__RoboNeuron__f4b2a705380050a76765583251490b2cc5c6e173,215,6,793
guybrush1984__Elelem__85048dcbb21cbd70c176fc734e707625fa4a2674,5,5,79
h2oai__h2ogpt__15f3a2d564541020f78cfc83bc90722dcda8a960,9,4,24
hailsham__mcpverse__982f66cab6112a50536a83eb84053c88245e814f,20,4,88
haotian-liu__LLaVA__main,9,3,29
hiyouga__EasyR1__4d13ebe55ad75230305e58a3e9cf48cd58042258,1,1,1
hiyouga__LLaMA-Factory__8c74dca76a813129c175489c85bf50e2c614091f,15,6,56
hiyouga__LLaMA-Factory__main,15,6,56
hlohaus__Agent-LLM__d8a46dacea35c6224effd3e733d5c085bea1949a,3,3,13
hongbo-miao__hongbomiao.com__2c949b85edaa4dc6e7bf299e58a7299df943e7fd,11,4,23
hq-King__SeqAfford__f6bd22db7026dc32e9b87d4e634df869ae7c7f15,7,4,19
huggingface__optimum-habana__6afa2ca282d345ccb27838bf580e997ce13c4d8c,50,5,225
huggingface__peft__main,62,1,475
huggingface__smolagents__c537327086e9264d7affd6e79967b05ce17731be,3,5,9
huggingface__transformers__b62e5b3e4060c07b0e595f670135d85bb51673fe,253,5,1377
huggingface__transformers__main,251,5,1376
huggingface__trl__1dc8bbca025ede5d964f6080eef5eea74819cbfb,58,4,295
huggingface__trl__main,59,4,288
hzg0601__langchain-ChatGLM-annotation__da8085ba5fcb89a2e665cd3fde28cdafa38b9c29,2,4,9
iMagist486__ElasticSearch-Langchain-Chatglm2__304d3d204a00782a0078fd76be232fa5802f4307,1,1,2
icip-cas__ScaleBox__13db955df0bb64e16496600970f6d2274af40b64,4,4,12
igeniusai__domyn-swarm__d93be70eddc7fa709afbdefea5d84726205676f1,2,4,40
illuin-tech__colpali__4db75353439ee0961950aeb60ce66fff472ac8ac,2,5,7
inclusionAI__AReaL__b942ed019df2c66b851c397c0836fd31a3787b70,21,7,120
instructlab__training__c495035075cbda242b7ff3fdccb51bf478142932,7,1,11
intel__auto-round__6723ef0aec7026c0ea38ce156aafbd25a9a0eadb,54,1,480
intel__intel-xpu-backend-for-triton__339dbba19a7ffe1229c0a96827b3be9b4f967150,1,1,2
intel__ipex-llm__main,326,5,792
intel__neural-compressor__eb7c1e377d93e577c3179c0f76b4c8fc7b1fea9c,69,2,175
intelligolabs__CoIN__26578fdbeac9b3826f493dd3344dfdf4e9c670fd,1,3,3
intertwine__kimi-book-writer__c22231f743d707bcb47e0ef38508dc7a4e6384e8,1,2,2
jacklishufan__LaViDa__24220c0077f403d24ca52968b6a7c55b687d5c2f,55,7,159
jarrycyx__openlens-ai__f4fc0621f9ef5128e7b0b39e3356cb871adb49ab,3,6,13
jayneelparekh__learn-to-steer__6e0d11a71e65481285f46191cc42ff71e8b9c5d4,2,1,3
jh941213__ollama-document-parser__22e19e96a796ffc3ad28cea5b2e889b39acf679e,1,1,1
jiaxiaojunQAQ__OmniSafeBench-MM__84a4d1708e42e8059cf3150e5c35dcd821c0b39e,18,5,58
junruxiong__IncarnaMind__75564a3bf08d0006387889cdc9a76fc509ededd8,3,4,7
jwest33__abliterator__6f87d1d0b8ba57c9d6d6a199f2bffb360c04ddbf,2,1,6
jzhang38__TinyLlama__main,5,3,13
jzhzhang__Uni-NaVid__79ef5ea3fea14c205342d1ab070563d84c7a966a,2,2,9
kanishkamisra__minicons__b7e0a82cb4c22ac0b3871ded0ab445fca5d63a54,3,1,14
keta1930__mcp-agent-graph__1e0f983701e4a11d1e7d89983d0ea025ef45ca80,1,3,9
khoj-ai__khoj__master,11,5,30
kijai__ComfyUI-Florence2__6c766b13f4908a86cfbd6357d6d485c80e0f3a2f,1,1,2
kossisoroyce__train_grpo.py__5b3748922917df9a06ae333f183b6b943539cb65,3,1,9
kozistr__pytorch_optimizer__1b1313b04f95b0f65a13d0be9257385497f63e37,1,1,1
kungfuai__CVlization__6c7e2824aa453250271d57563d8bfb32569e0960,51,6,88
kureha-yamaguchi__reasoning-manipulation__40f3e206f993812dab0de093d3283cc394a17962,12,1,23
labmlai__annotated_deep_learning_paper_implementations__master,1,1,2
labring__FastGPT__05bf1b22653f8699b85098db3e86a7f29bdc2895,2,1,4
langchain-ai__chat-langchain__a875a649109ad7c3d68d7e9b75508f687e627ca4,2,1,2
langfengQ__verl-agent__373e6b221cd88db45a1d303da5dd7871630efe09,26,5,40
lanxiang1017__GEM__7edee7e20408cf3e855a4ace6f6b291b1e7b8485,13,6,52
lee101__stock-prediction__a941985bcede694bfacf9651e80da9e92179675b,18,4,46
lemony-ai__cascadeflow__c6554a2bf9a7db4f7545da3c8b7d1630bb1b81fe,5,2,28
lern-to-write__STC__a216a28fc140600890f16b6212faa278c0691ec3,9,4,40
lesleslie__acb__c52a658988732b19099bba8884386648c2c74233,4,4,15
linagora__openrag__efa103ff60e9f554d4845c30acd29a18b1fc68d5,11,5,26
linancn__TianGong-AI-Unstructure-Serve__83c8377ec8cd91e7e70e83149ff015a8c9c2fa40,3,5,15
linkedin__Liger-Kernel__6059dfb2158cf3399b27f2b124939aac8e4fcd31,2,1,3
lpalbou__AbstractCore__5bfd9a86fcf91751182471a8de9f1d1f1a6a8189,7,6,38
lucafoscili__lf-nodes__beebb1eae44330fbd701f56eb6cda2ab6ae1a07f,0,0,0
ludwig-ai__ludwig__master,9,2,14
luisleo526__doc2mark__031eaf3987798c713f9c65c82331a717bb5d5c44,1,1,1
marella__chatdocs__ff0f962972ba65f0bccbf2e81875a95bae7473b5,1,3,3
markl-a__My-AI-Learning-Notes__a0991e3243be331c841590f7b0dfa32c3b8c8577,55,6,407
matdev83__llm-interactive-proxy__e5f0eababe6ed1a4cb3bce8a0227b2897606a208,10,6,73
matigumma__bb.agi__9af4396c1c97b0de3fc47ceb35ff8e4489be6254,1,2,3
matt-seb-ho__arc_memo__e2598f1c093a4ddd8c871bd949e6a425d70f0fa7,1,3,7
maybleMyers__H1111__8e96060e71b9a34e3dd9bc64eaf53297ca28e201,3,1,5
mbodiai__embodied-agents__b0ae7f791d2940b401f5f24fa120d9ee0afeca45,7,4,16
meta-llama__llama-stack__main,24,5,360
michaelpradel__Testora__8c5b410dd30925b65b0f3907384bd993bcacbd38,2,3,8
microsoft__Olive__7c5b3b8c947311ebfb3fe4efe2b733719d6ebc93,8,1,13
microsoft__RD-Agent__ce8d6a75720006d558461a981d71b9b268f5b202,2,4,8
microsoft__TinyTroupe__43d951eea015aea09972dc95537c9bbbc74ba207,1,3,3
microsoft__debug-gym__1665bbd55119e2b6d5e0004a59f691b24635b6e1,4,4,8
microsoft__markitdown__main,3,4,10
microsoft__openaivec__cd2760bc392cc82eebffcbd2ca81882a22860f85,3,1,3
mims-harvard__ToolUniverse__132458e90eae0d23245caed295dd0bb9518cd240,2,5,24
ml-rust__splintr__b5d9df683dcc2bfafe2a055ec0745f413d5cffc3,1,1,1
mochenya__certificate-analyzer-VLM__b74e83bbcf066352aa4e90a33c537d2cf9dc9e51,1,2,2
modelscope__DiffSynth-Studio__11315d7a40fb645f7806298e50613ab6663912fa,2,1,2
modelscope__evalscope__1ab8fcaea0f6b6172610f8b9c4603f8d7905eb57,19,6,58
modelscope__modelscope__a7f50d45164cfaa3f8797d05a63a039eb7163fd0,32,2,43
modelscope__ms-swift__main,25,7,73
moonmath-ai__cosmos-predict2.5-moon__8e2de87f3df9f8d12bd4d0fe26e752da5a31b5f1,3,1,5
muzahid59__gai__d3a6c91d210645ee783458f312177a188f8f039f,1,3,4
neuml__txtai__master,13,2,25
nkkbr__ViCA__96e8a61b7afe23da3908280cc4872d36311945aa,10,1,36
nottelabs__notte__e0d11b0b123ed15ddb0f6edba3b7231cd56ab6b3,2,1,2
nvidia-cosmos__cosmos-predict2.5__3060c7fbc0397e0aca7108ade39eaf70676fed82,3,1,5
oidlabs-com__Lexoid__586e8c942917eb2d3f9a037ef636ab2d12644c96,1,5,11
omarkamali__borgllm__8f3aefdaef172393b1520baba177cc6170ba464e,8,5,140
open-edge-platform__anomalib__a38f19f493524b8c1508a44c1524bdfd61ef2e50,2,5,6
openai__mle-bench__0701d35efea165fb184e924861234c05e9dff4ab,3,4,7
openai__openai-agents-python__main,4,4,14
openai__openai-python__main,36,7,263
openai__swarm__main,12,5,27
openaiotlab__ContextAgent__f4674bf2a1385ce829c6a7f2ea9c53871dd1a8ce,16,6,66
opendatahub-io__data-processing__bd734dfd1cda4ada867ce43b34aeead5cf4c3fda,1,1,4
opendatalab__MinerU__eed479eb56bba93ee99c1a8c255d509bd2f837e5,6,6,10
opendatalab__mineru-vl-utils__2c41db4a0e7b00de38aca087591b112469b39c39,1,1,1
opendilab__LightZero__8ec0169e73d3ad45bac4730f06bd270f5636fe77,2,1,10
openvino-book__PaddleOCR-VL-SFT-for-Japanese-Manga-on-RTX-3060__025766e1c77031dc798223751c98258b299e07fe,2,1,2
openvinotoolkit__openvino.genai__87f9d9ef73f7e827d593bd8e00eccf6740bf9cbe,26,4,120
openvinotoolkit__openvino__030c1c404785dfee6916272a7c6ee1f5ee1d2c94,7,5,27
openvinotoolkit__openvino_tokenizers__60a9e5067e434b8721719479f2e1eb750ae7bd81,5,1,5
oumi-ai__oumi__9094a4c940dbad24aff1fa1a486db6608234b42c,10,4,14
oumi-ai__oumi__main,10,4,14
owadev777__EgoVLA_Release__92ebbd916f6bad4b79dc7d3efbb485d10f80b113,18,6,54
paolaoshi__ComfyUI-Qwen3VL-DP__6374d908a6fd93b3edeca5a47620be6054d1df1f,1,1,2
paolaoshi__ComfyUI-Sa2VA-DP__5ca51db3f82dc8af26498a2e9fd4278e51bd37d5,1,1,1
princeton-pli__hal-harness__caaa72c7f2bb13799064090463cbe86ddbb4dd25,16,6,88
pytorch__executorch__c61b2ed1d022ae0681e1a6547bbba8c95acd6854,19,1,35
qodo-ai__pr-agent__main,2,3,6
qtalen__agentic-ai-playground__dd618c69ea02e06e4b75549bd0b3d5225b790938,5,4,12
qtzx06__gclear__951de9fc7e9e200427b9618337fab295d1898c9e,1,1,1
quic__efficient-transformers__46ed92b22abb6b14f5df95c2b92df32d5efbd051,43,2,76
r-vage__ComfyUI_Eclipse__5045d540fc0d1055ec6f29b1035ace691f85422e,3,1,6
rasbt__LLMs-from-scratch__d7f178d28bdf56732b01544d5718bfed637ac6f9,3,1,12
rasbt__reasoning-from-scratch__abab144ec2cb405c76bea0fbb2d489f9d13fac76,1,1,1
rezaho__MARSYS__c94cf67316a55a34f6ec83403b26b923839069d7,1,1,3
rllm-org__rllm__1a5bcdf57c79f2ac67dc5d9f2397d0be94169ede,28,6,98
robiwan303__babyagi__9c22f053675710094576bfc4e6527f59a50e6ac2,5,4,28
rscheiwe__vel__41e4dd67e162cc719ad90d3294ebe758e9ea8a7d,2,5,12
run-llama__llama_index__main,77,6,255
run-llama__rags__main,2,1,3
saikiranrallabandi__inframind__64854d0d5d1a824814c7cad69f1c38b6bf00a2cb,10,5,38
sailself__TelegramGroupHelperBot__2516740b56578ae81540f02920dd959623c79a54,3,5,12
saten-private__BabyCommandAGI__993f7075479d4d89948410bfec0c4c18d4a06b0c,4,6,26
scicode-bench__SciCode__e3158ea011d4235245a547460d3688d7ccbf9900,1,5,9
score-technologies__score-vision__a21c7dd4028c311288d744978f30c7981ec84870,1,1,1
seanpedrick-case__doc_redaction__9ab85e08bc681c125a864cab138e1f37f1f48268,1,1,2
sgl-project__sglang__main,92,7,599
shakfu__cyllama__3bf0290c31ecc276c6be543a1b674040f32bb2b0,1,4,17
shawn0728__ARES__5bee103fa7d09f84d41eb508b84ff0dc0c61ca5f,2,5,7
shell-nlp__gpt_server__8fad613be165f5a79d64ac93ceb0d4a8b4cac990,23,7,81
sii-research__siiRL__297950ae5429ff6b35e7ae38b2c608bcf0cfe18d,4,1,6
simonw__llm__main,1,4,24
skypilot-org__skypilot__a3f153cec4ceb060832c9c17a1c9697c95a580be,9,6,17
smthemex__ComfyUI_OmniSVG__78292d5d7d17f4dd75238083a5c0d7b482a954dc,2,1,2
snap-stanford__Biomni__c36e39f9202863bc7b0665563e74e97723862fa5,4,4,10
socialfoundations__folktexts__75a5df804d11f45dd442266f0880d7d630f91aaa,1,1,2
speechbrain__speechbrain__develop,3,1,5
stanford-crfm__helm__26b9af43b761fe73d571fc5b7fe04e80698c9179,22,6,54
stanford-crfm__lm-evaluation-harness__a067ec90e07e9b5f6cdd717f14b8071c4d9c9836,6,3,8
starVLA__starVLA__bc6af720b5311ec7f30a06ddc5621fa644bcfd8e,2,1,3
stas00__ml-engineering__master,1,1,1
sw5park__LUISE__e88343c1e2d1c634a33838500e6cc72aa97fdeaa,1,2,2
syun88__VLA-from-FastVLM__5a8d56db80418fb2071f7f7747415ecc5d80727f,1,1,2
taylorai__lm-deluge__96124f3c6010848b4f34232a5ed7e0adc9bd17cc,1,5,38
techmn__cdchat__8b59976020de2bf0e2d1b7646e6b376cde02890f,4,1,14
terrierteam__pyterrier_rag__e2447079281f0131cd180f18f12e30574ab17c5c,4,4,9
thaoshibe__relsim__bc043219b625e804a47a313728ff7d4545482912,2,3,4
thu-nics__R2R__a7789ff551fa92dca1b6b3120fbcbe8461c5b5a6,14,1,23
thu-nics__TaH__03c9f24665b1b5d18938e95d1d5275b63c6b4451,9,4,19
thunlp__ChartCoder__47d965c971be15eebc5bd495c87efcfa34b2016a,10,4,41
tihado__AMD_Robot_Hackathon__8ccf9c2717c6aecbbd6a127a05d8ca71c3973bf2,1,1,1
togethercomputer__together-python__137b84e5127308dd709dad22a6274f4d15286f43,6,5,34
triton-inference-server__tutorials__2d829606c02d0adb8eaf43e53df799e0794b5b6a,2,1,3
trycua__cua__7404c13e7736c668170afce36a0c5ddff4f4c534,5,3,10
ucsb-mlsec__VulnLLM-R__cf4759373dd83235399cc0aad5e6896e7b07d6ac,21,7,74
unslothai__notebooks__b9224375ef697bdb67444f6b31a0859a6dcdd34e,59,2,59
unslothai__unsloth-zoo__7910c9211fa053ef7a31b8662738be70a7da9db5,3,1,4
unslothai__unsloth__d5b61a6bc6d546ca6afa9043f9c4b15713ecac62,5,1,19
unslothai__unsloth__main,5,1,19
uukuguy__DB-GPT-Lite__d857cb71f2c19e8535d0f5e9692e15c4e4dd100d,7,6,33
uwdb__VOCAL-UDF__d26fa010d3d85187a46a8abb6f9dd4ba5f94d388,11,6,36
vitali87__code-graph-rag__806ae20ce2579a06aa04436f67a02999d4a9dbcb,1,2,2
vllm-project__llm-compressor__3f25fd114448fe16853e49e407e51f28b254daa2,64,2,131
vllm-project__speculators__b3f6b104e828178bb537d4ac80f01f49dbfc8bc4,7,2,20
vllm-project__vllm__62be3670cb97e7196c30be26fe347d12d183429c,136,7,1029
vllm-project__vllm__main,133,7,1022
vlm-run__vlmrun-hub__55b534d87980aaca55fba28a4a6062a58f8f01ab,2,4,8
vlm-run__vlmrun-python-sdk__e49fd1e6bdf4aa45962d704a1d4c04790e00aefe,3,2,3
vmayoral__PentestGPT__58e80fa92dea24da3d4899aa625b7683100720da,4,4,20
volcengine__MineContext__fecace9afc6f566e9f2d4601237a51296e3fa41c,1,4,21
volcengine__ai-app-lab__423c8216acf9897a1eee632341969129477cc154,33,7,169
volcengine__verl__249c0831b793751f488d80bcfeafb8f7c544cd65,30,6,61
waybarrios__vllm-mlx__bd1d08fb7f99bdeb136d7379c3a8351537b8d6bd,5,5,89
willxxy__ECG-Bench__99e3e78eb63a0ee88e3080a9f4fce59143b15423,7,4,17
wzpan__wukong-robot__master,1,3,4
xhguo7__PAPO-Eval__b57d909f49f707f8913cf5064b9da2b50575970d,4,2,5
xiaozhuABCD1234__AutoAnswer_zhihuishu__ad51d0c48d97ba042d955bfe0b0e801941a64fb4,1,2,2
xorbitsai__inference__main,48,6,149
xtekky__gpt4free__main,28,6,183
xuyang-liu16__GlobalCom2__96b2d00b86a22495285ab448cc89faedafddd78d,9,3,29
xuyang-liu16__MixKV__bf5ddc459597d2ea9fcd62482e54880409f9ec2a,48,7,133
xuyang-liu16__VidCom2__ce46008b959c6715b8233ea1b9d1c063d22a4b2c,64,7,174
yash91sharma__MALTopic-py__134ba5cf75b5f52df844c6a2bf7df2ef3115dba7,1,3,4
yawiii__comfyui_prompt_assistant__b08c8e1f17005f3e8e5a8fdce965eca2a5261a6e,2,4,20
yhzhu99__ehr-llm-benchmark__d413e70e7fa29ee5cd815ec87276be7eb1526aef,9,4,28
yichuan-w__LEANN__a6ee95b18a64a29e9dd158c126d5b69a36bab1cf,6,5,29
ymcui__Chinese-LLaMA-Alpaca-2__main,10,1,12
ymcui__Chinese-LLaMA-Alpaca__main,3,5,7
yoheinakajima__babyagi__3532f987744e9254afacc254e3325d1910c0651d,1,3,4
yujiosaka__ChatIQ__def21481b0c132173b51d1d7a314b103db324ca2,1,1,1
yvann-hub__Robby-chatbot__5beb6894c8ba0d0b67188ba2be568a2a22a00491,3,1,3
zaiquanyang__LLaVA_Next_STVG__d904f1a7e8e386694baa91698134fadc5f7b8f8c,11,1,41
zhayujie__chatgpt-on-wechat__master,5,5,15
zhihao1998__LLM4NetLab__8f765707beced9eaf193dfd9341f064c2079cbd9,1,2,2
zhjunqin__Langchain-Chatchat-InternLM__761f0bc3a94ccdda9970761b6c769c7e0537e2e8,5,3,11
zilliztech__GPTCache__main,48,6,352
zldscr0__SENT__2a7c40fa77ea3ce882534a30a1029db06d561825,49,6,94
zyddnys__manga-image-translator__a537cb12b41daf2065795058c2753d87e73fa0fe,10,6,32
