project_id,files_touched,rules_touched,occurrences
HKUDS__ViMax__c0e0694a397cb9903ead57d46372d377e23042bf,2,2,4
HakAl__scrappy__2eded1f5617a24821c44017b8554951c2ed1a67c,3,6,9
Haste171__langchain-chatbot__f3999530d57eb8069d8b911024785d82ac5d003d,2,1,2
IP127000__openVLA-Qwen2-0.5B__940c7616deaef12458493089846c7b67749865f2,11,1,41
ISEEKYAN__mbridge__afc2fadec5586fd91dc60bd3b0ade6e858d5fe36,5,1,5
IVY-LVLM__SALOVA__e507cab2b454e40d3459162cfcd850ac8181d171,10,1,31
IntelLabs__LLMart__c42b1b714be912195de2e506abb38bea55a41850,3,2,5
IntelLabs__blueglass__869a1f3d2b132b6a31f7b71032b31f11f396ebf5,21,5,62
InternLM__ARM-Thinker__b70dfe967941450d88f8a8ce526f85af87e2c624,9,4,14
InternLM__lmdeploy__d7c28d3dbfdf75c9fed0d00e9784774575e2156c,23,7,193
InternLM__lmdeploy__main,21,7,190
InternLM__xtuner__8d569d5f61ba3aa70a34b28492bb4beee812d010,48,1,91
InternRobotics__InternNav__b654fbbe2f7a298a3d8263928ce67a4b9ac30b09,1,1,1
Ivan-Tang-3D__ENEL__bd60441788eda3c2199299a0dd3f12d3c62df568,3,4,7
Jerk400__h2ogpt-dev-local__ba56d6471080ec447c7c5347a2d4765ae4dba5b4,11,5,30
Jilliansea__TinyZeroWithSFT__1fe50777fc1b6b441058a4ae35e5514a7036e8bf,12,1,18
JiuTian-VL__CogVLA__cd6d270b618011f61d7e0731feec66c5a244cc38,3,1,3
Josh-XT__AGiXT__c1cba14cf62631eb2cc30ca48bde9129a1f67145,12,7,48
Josh-XT__AGiXT__de7d913b2853708b9f9d4e7127ea48bca80865b9,1,2,3
JusticeRage__Gepetto__9b3f12b1d4e92851f5ad69a7ea2f45cdc733e47c,10,4,24
KE7__graid__e2306a089115b6f5453dd7d32eb0b677d727ec76,5,6,27
KU-AIVS__Dobot_Pi__3f223280c3b96f00b444b705c012441b2f87ba5d,1,1,8
Kiln-AI__Kiln__229b88880644ff3114b895a68186096abf1231cd,2,2,4
Kit4Some__Sapiens_Ontology__faa53df1838241f27565b9c5add3ad66b1637e2d,5,2,22
Koko-boya__Comfyui-Z-Image-Utilities__611b6ad9808835af5a2fe7f247cca1151e4fe942,1,1,2
Kurt232__RLKV__03a4c4d4f396cf912d4dad982b26625f0efefccd,2,1,3
LLM360__Reasoning360__13158341d2a0dfe5f3bb80e7126ff21de0d16676,26,4,39
LeonGuertler__UnstableBaselines__11f37beb377f9d17459895919c3d2c7df740fd08,1,1,2
LiAutoAD__LightVLA__3d4d48e7c5bb750660f3324fc1e26dbaa1134c55,3,1,3
Lightning-AI__lightning-thunder__a0d03353130895891ae151f928a9e61ccaa90148,1,1,2
Lightning-AI__litgpt__df94ee2cae47d8d2fb20815c175e98fd1f64a27a,1,1,1
Liquid4All__leap-finetune__1af6122aac9e3ba2cf2c821a912f15e1fac808ef,1,1,4
LivSynRobotic__RealDualVLA__b23561626c567dcad8f6dbfcd36e36a217ab1e00,5,1,5
LiveBench__LiveBench__366e385d1ff6ad90ddeeb3644f1d72b2f7c6c324,5,6,36
LlamaFamily__Llama-Chinese__main,10,1,20
Ltamann__ComfyUI-TBG-ETUR__dedee5cd15c69222b1de4e1cc8a867c331fc499f,1,1,1
Luckybalabala__llama-cpp-AutoGLM__694dc092b1c34b16ce7008e83bf41683128640dc,17,4,64
Lyu6PosHao__HME__75bf8f7c3fbc511d7711f5da8f8bec68b929d83a,1,1,2
MIC-DKFZ__VoxTell__c40ad85f324ff26c9bb0fabd2a184a709b0f7032,1,1,2
MICS-Lab__thunder__9d402e59d01d97f38e490007b537aed9c7c5d2eb,1,1,6
MLNLP-World__reasoning-from-scratch-CN__c1f9001ed3dc75b9e4b38a4f1f6c16a6cd6ad268,1,1,1
MLNeurosurg__neurovfm__98e4bb3c2faf714c82c650cea3b34bbc27b3f5c3,2,4,6
MaartenGr__BERTopic__master,2,3,4
MadeAgents__mobile-use__14608994feb5e4a0c5c8242882eb993ec64a85cc,3,4,10
Marcus-Forte__learning-mcp__be4e7840581a7f6b99fea2430dc4a92bac5ba540,1,2,2
Marker-Inc-Korea__KO-VLM-Benchmark__1c786dca65dd02698f0c4bde80513efce229d8df,11,5,17
MartinLeitgab__AISafetyIntervention_LiteratureExtraction__f22e5044877b75cea2cada24c19c0c3523fd4aaa,2,1,2
MikeWangWZHL__PAPO__2b376e467317cd27505e14e12cf39ef72b9b2300,1,1,1
MizzenAI__HPSv3__bd0c5fcb5f587617b0169c07222ab78d01e2f3c2,5,2,8
ModelCloud__GPTQModel__5b568257e2a662ce396401a65dcad7dd4f26726f,43,4,73
Moenupa__VTCBench__840d288c1a85fc9d6ace038385fcd0349ae1129c,3,5,8
Mr-Loevan__HSA-DPO__dbb76cdac9ab2704c2f2a779ee1d8b22876a4eba,4,1,18
Mungeryang__colqwen3__f460112d6cd75dacf26372b207eb56843e8005b1,2,5,7
NHirose__OmniVLA__ada71e9c01cdc99920f6645b48f53257e2687bd0,1,1,1
NVIDIA-AI-Blueprints__rag__42962afb228a788ce234ce63c04f754049e74310,2,3,3
NVIDIA-AI-IOT__live-vlm-webui__7e726bfb76c2cdcfdfff6eee852ff41810ffc23a,1,2,2
NVIDIA-NeMo__Automodel__4e9d32b599ab84501bb8964e601285e4adc3dc70,8,1,17
NVIDIA-NeMo__Curator__faff40f351c38dff20f22754b87c5e62b259cdb2,16,4,26
NVIDIA-NeMo__Export-Deploy__c7e272779137adc2ecd7e5d29d85b00c723fcd35,9,2,18
NVIDIA-NeMo__Megatron-Bridge__c299283eca10d37e1081749a2f275c630dfc8101,29,1,47
NVIDIA-NeMo__NeMo__93950b796abb03695b2e37434769e7caa7335a17,34,4,53
NVIDIA-NeMo__RL__48dbb37970e4e5b50d5f6f684a1031d820350753,21,1,39
NVIDIA__Isaac-GR00T__d483f00b1c13116bda020bead9d16dca497b2f6d,2,1,2
NVIDIA__Megatron-LM__main,9,1,12
NVIDIA__Model-Optimizer__b286165362317940fb11bef02e1cad183ad22acb,50,7,91
NVIDIA__TensorRT-LLM__0b279f4ad4b9c2842cb79e1a45754ec1fd51646a,139,7,515
NexaAI__nexa-sdk__41e98bfc442c21ce503cd48f8fad6a5e4b53c3e1,1,1,1
NikolasMarkou__dl_techniques__b0440cd74adc5c700fc9c45712e426ee2266b1ce,8,1,13
NotPunchnox__rkllama__5a1333911dce9b056709330ad672d29718cf9b3a,3,1,5
Open-Technology-Foundation__customkb__950c7791d40e04cc375018539a9a3bfe9b19c697,4,5,25
OpenHelix-Team__HiF-VLA__a1a25e5641cd499d41f722ec2ef6ea35d35febad,3,1,3
OpenMind__OM1-modules__eed03c9ccaf00641c706404e32f5b161804512a8,1,2,4
OpenMind__OM1__2c2615b14d0ca05530e0ed50ca9ffd7a3aa6442a,12,5,34
OpenRLHF__OpenRLHF__591b148cc5a829c710078553cc490f178bb4a4af,3,1,3
OpenRLHF__OpenRLHF__main,3,1,3
OthersideAI__self-operating-computer__main,3,7,39
PaddlePaddle__ERNIE__9658b15012103b3a22c5732942ff903d49351b7a,4,7,23
PaddlePaddle__FastDeploy__d6574556169e4da8a55cc3d44d505cf7a8c3f79c,37,7,521
PaddlePaddle__PaddleNLP__587a5cdf97138ac5032b4bb97cf7fc22a038aaf4,289,7,637
PaddlePaddle__PaddleNLP__develop,289,7,637
PaddlePaddle__PaddleOCR__da4639650edbb98e85b1050495e2c8eb3a027abf,2,1,2
ParisNeo__lollms_client__e10bd27f49b7a25daa59c086aaa9cf8dc596bc92,13,6,88
PozzettiAndrea__ComfyUI-Grounding__8a8c0dbc26f6644c662be3e55c8ba5c802b34c6b,3,1,4
Pro-GenAI__Index-RAG__496e726f0501e5947d3b63c604dd94dfe8461765,2,2,3
Project-N-E-K-O__N.E.K.O__5e85e4d32ae6c5cb87023baceaf4340f01ed47ba,15,6,71
Pseudo-Lab__TableMagnifier__0c445f2421409846fbdcd0492bb45acd5f980b57,7,4,34
QuivrHQ__quivr__main,2,3,5
RLinf__RLinf__921b60326e738c8632fdab58f49d42d58f605876,7,1,9
ROCm__ATOM__958f0e6e90724679dddd8dc246d7f86209ec8582,6,1,6
RapidAI__RapidDoc__5411341f0afc6fcc4d39fb16606de2ddfbdbd361,1,1,1
RayVentura__ShortGPT__stable,1,2,3
Realiserad__fish-ai__35cadf89fcc671a2fd4bc0f206ff774df900c4c8,1,3,13
RoboticSJTU__UniDomain__b4c7a4c99d710a082c346cc44849d4f3f10418e9,3,5,13
Robotics-STAR-Lab__ApexNav__d0575ab1d95c0c8bf40ca31e5fd8d49da18cd4fe,1,4,5
RoboticsData__score_lerobot_episodes__a9955c0a174aab7d07f9cecc09bb6e61faa4e694,1,4,6
RockChinQ__LangBot__master,4,4,22
SYuan03__MM-IFEngine__af6430c6e0bd9ad81cceeaf4062257d8854e9626,12,7,50
SafeRL-Lab__AccidentBench__4abe9d836d0b978f0d9a7953fc0546eefd1fb4ed,52,7,128
SanDiegoDude__SCG_LocalVLM__540bc9f8980f5ab60592761cddfc0ea7c352a5b2,1,1,3
Sarthak-Sidhant__redstalk__208719537e2a42df953f7754ac08edb2d902c52e,3,5,17
SearchSavior__OpenArc__14dec900ac34ec72d75249c04820eefe223f5ff6,25,7,70
ServerlessLLM__ServerlessLLM__57018d310c737d59a57e0171484b0a9f676fdef9,15,1,30
ServiceNow__BrowserGym__254938baf1e7eec7069c873d7292a49d21ca349c,1,3,5
ServiceNow__GroundCUA__a28e03bcd7f2cb6769a5554a348c938a512cf674,1,2,2
Shaunwei__RealChar__ee36a803e220c8a3f021a61922ea81c59e7242ee,2,1,2
ShenSheiBot__pdf2epub__d00f540bb66411632d86c0b87fb16a2aaffc3782,2,5,24
Shubhamsaboo__awesome-llm-apps__main,34,6,109
Significant-Gravitas__AutoGPT__9ef4fab084633e4289226a6dd059a598085ec876,4,5,23
Simple-Efficient__RL-Factory__d0abc1dbac31cf936af4d4a50009e337a9406f94,26,4,46
SkastVnT__AI-Assistant__49692e858f31fe68c385b8e9404c0e9657a2980e,36,8,242
SlimeBoyOwO__LingChat__31b13e0393579bdf823374acece66834e0ed75a2,8,7,43
SolaceDev__pr-agent__5c768572233adb5fb9eadef21a184410b30b5603,1,2,4
SpikeAgent__SpikeAgent__ec93b5a2c62a43dd992c026643366f3d00e0d3c8,3,5,23
SqueezeAILab__MultipoleAttention__db65e51d582b9bcb89807b9d9397c3532d1099ef,250,5,1227
SwanHubX__SwanLab__fc0890ee9ec56b13c410090a17deb0fe3f0d40d5,4,4,6
TAO-STAR425__LLMs-from-scratch__236a68c2f0e571a6abd861cd6c9b1d686d04f1e1,3,1,12
THUDM__slime__b23fcd10f4eecb465e301b46eeb974080b6266c1,10,5,18
TeenLucifer__llm_base__91e49ba967673d2e8c1b312821079d3b7baa950b,5,1,7
TheR1D__shell_gpt__main,1,1,1
Thinklab-SJTU__DriveMoE__5830174b3ce15c98211b4274b1b4d78ea70150b0,5,1,5
TinyLoopX__RLLaVA__0c73645d2a7b07344c72a3d9df347c9ada565152,1,1,1
TransformerOptimus__SuperAGI__main,3,3,4
UKGovernmentBEIS__inspect_evals__80b12adcf8e9de124b5b4fb333bc92c0c074f796,16,5,35
UKPLab__sentence-transformers__main,5,1,10
Upsonic__Upsonic__master,5,5,14
VAGOsolutions__sauerkrautlm-colpali__dd525fe64d81434eb000f5ef4afa5417105baa98,2,5,7
VTSTech__localagi__85ecc246bd50783e9edaa4227493c0ac127912d8,1,3,5
Vertax42__openpi__ce70ccbd92a548ae62619bfb438014644944e76a,1,1,8
Vidminas__chatdocs-streamlit__cf4053a1b20116fb0d05e64778e3c4c28b902f2a,1,3,6
Visual-AI__3DRS__0401f547778c5de2e9e889c0606442087128c13d,135,6,656
Visual-AI__Pancap__b8012a494bf33ff82c3ba65f4534a04b5035d7ac,12,3,34
Wan-Video__Wan2.1__ae487cc653b4a1791fec8201af20d2102a2514f3,2,1,3
Wan-Video__Wan2.2__81e67351b81197330c9533e7f345233e7702b44a,2,1,3
WingeD123__ComfyUI_QwenVL_PromptCaption__d28e64840735516e52bede20f10889bc01f11dc4,1,1,5
X-D-Lab__LangChain-ChatGLM-Webui__ef829a28234228761a97541e4ebae9da4f4e6800,1,1,4
X-iZhang__CCD__b4d8b8c2db692fc5bc1970c4ed9ee0383d5fe9d3,1,1,1
YWenxi__think-with-images-through-self-calling__fd872eebca5157f570de062c23a5336baf3de8ad,27,5,51
